dataset,dimension,relation,paper_orf_id,paper_chrom,paper_strand,paper_blocks,paper_start_codon,paper_stop_codon,paper_span_start,paper_span_end,paper_aa_len,pred_orf_id,pred_blocks,pred_start_codon,pred_stop_codon,pred_span_start,pred_span_end,pred_aa_len,delta_start_nt,delta_stop_nt,scope_class
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025938.16_Slco5a1_chr1:12990579-12990798:-_72,chr1,-,12990579-12990798,12990798,12990579,12990579,12990798,72,P1_1:12990580_12990798:-:1:219,12990580-12990798,12990798,12990580,12990580,12990798,72,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025920.19_Stau2_chr1:16509375-16519208:-_22,chr1,-,"16509375-16509408,16519172-16519208",16519208,16509375,16509375,16519208,22,P1_1:16509376_16519208:-:2:69,"16509376-16509408,16519173-16519208",16519208,16509376,16509376,16519208,22,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025920.19_Stau2_chr1:16509375-16519208:-_22,chr1,-,"16509375-16509408,16519172-16519208",16519208,16509375,16509375,16519208,22,P1_1:16509376_16519208:-:2:69,"16509376-16509408,16519173-16519208",16519208,16509376,16509376,16519208,22,0,1,uORF
unification+gencode:uORF,coordinate,pred_contains_paper,ENSMUSG00000026087.11_Mrpl30_chr1:37892968-37893010:+_13,chr1,+,37892968-37893010,37892968,37893010,37892968,37893010,13,P1_1:37892166_37893010:+:2:75,"37892166-37892172,37892943-37893010",37892166,37893010,37892166,37893010,24,802,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000060771.14_Tsga10_chr1:37849370-37849421:-_16,chr1,-,37849370-37849421,37849421,37849370,37849370,37849421,16,P1_1:37849371_37849421:-:1:51,37849371-37849421,37849421,37849371,37849371,37849421,16,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000060771.14_Tsga10_chr1:37849370-37849421:-_16,chr1,-,37849370-37849421,37849421,37849370,37849370,37849421,16,P1_1:37849371_37849421:-:1:51,37849371-37849421,37849421,37849371,37849371,37849421,16,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000041907.9_Gpr45_chr1:43032017-43032131:+_37,chr1,+,43032017-43032131,43032017,43032131,43032017,43032131,37,P1_1:43032018_43032131:+:1:114,43032018-43032131,43032018,43032131,43032018,43032131,37,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000041907.9_Gpr45_chr1:43032017-43032131:+_37,chr1,+,43032017-43032131,43032017,43032131,43032017,43032131,37,P1_1:43032018_43032131:+:1:114,43032018-43032131,43032018,43032131,43032018,43032131,37,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000045515.3_Pou3f3_chr1:42696225-42696306:+_26,chr1,+,42696225-42696306,42696225,42696306,42696225,42696306,26,P1_1:42696226_42696306:+:1:81,42696226-42696306,42696226,42696306,42696226,42696306,26,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000045515.3_Pou3f3_chr1:42696225-42696306:+_26,chr1,+,42696225-42696306,42696225,42696306,42696225,42696306,26,P1_1:42696226_42696306:+:1:81,42696226-42696306,42696226,42696306,42696226,42696306,26,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000045515.3_Pou3f3_chr1:42696034-42696145:+_36,chr1,+,42696034-42696145,42696034,42696145,42696034,42696145,36,P1_1:42696035_42696145:+:1:111,42696035-42696145,42696035,42696145,42696035,42696145,36,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000045515.3_Pou3f3_chr1:42696034-42696145:+_36,chr1,+,42696034-42696145,42696034,42696145,42696034,42696145,36,P1_1:42696035_42696145:+:1:111,42696035-42696145,42696035,42696145,42696035,42696145,36,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026109.14_Tmeff2_chr1:50927685-50927775:+_29,chr1,+,50927685-50927775,50927685,50927775,50927685,50927775,29,P1_1:50927686_50927775:+:1:90,50927686-50927775,50927686,50927775,50927686,50927775,29,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026109.14_Tmeff2_chr1:50927685-50927775:+_29,chr1,+,50927685-50927775,50927685,50927775,50927685,50927775,29,P1_1:50927686_50927775:+:1:90,50927686-50927775,50927686,50927775,50927686,50927775,29,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000041684.11_Bivm_chr1:44120246-44126297:+_19,chr1,+,"44120246-44120274,44126265-44126297",44120246,44126297,44120246,44126297,19,P1_1:44120247_44126297:+:2:60,"44120247-44120274,44126266-44126297",44120247,44126297,44120247,44126297,19,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000041684.11_Bivm_chr1:44120246-44126297:+_19,chr1,+,"44120246-44120274,44126265-44126297",44120246,44126297,44120246,44126297,19,P1_1:44120247_44126297:+:2:60,"44120247-44120274,44126266-44126297",44120247,44126297,44120247,44126297,19,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000041684.11_Bivm_chr1:44120246-44126365:+_16,chr1,+,"44120246-44120274,44126342-44126365",44120246,44126365,44120246,44126365,16,P1_1:44120247_44126365:+:2:51,"44120247-44120274,44126343-44126365",44120247,44126365,44120247,44126365,16,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000041684.11_Bivm_chr1:44120246-44126365:+_16,chr1,+,"44120246-44120274,44126342-44126365",44120246,44126365,44120246,44126365,16,P1_1:44120247_44126297:+:2:60,"44120247-44120274,44126266-44126297",44120247,44126297,44120247,44126297,19,1,68,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026096.14_Osgepl1_chr1:53313677-53313833:+_51,chr1,+,53313677-53313833,53313677,53313833,53313677,53313833,51,P1_1:53313678_53313833:+:1:156,53313678-53313833,53313678,53313833,53313678,53313833,51,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026096.14_Osgepl1_chr1:53313677-53313833:+_51,chr1,+,53313677-53313833,53313677,53313833,53313677,53313833,51,P1_1:53313678_53313833:+:1:156,53313678-53313833,53313678,53313833,53313678,53313833,51,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025971.6_Maip1_chr1:57406643-57406760:+_38,chr1,+,57406643-57406760,57406643,57406760,57406643,57406760,38,P1_1:57406644_57406760:+:1:117,57406644-57406760,57406644,57406760,57406644,57406760,38,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025971.6_Maip1_chr1:57406643-57406760:+_38,chr1,+,57406643-57406760,57406643,57406760,57406643,57406760,38,P1_1:57406644_57406760:+:1:117,57406644-57406760,57406644,57406760,57406644,57406760,38,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025978.14_Rftn2_chr1:55226327-55226444:-_38,chr1,-,55226327-55226444,55226444,55226327,55226327,55226444,38,P1_1:55226328_55226444:-:1:117,55226328-55226444,55226444,55226328,55226328,55226444,38,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025978.14_Rftn2_chr1:55226327-55226444:-_38,chr1,-,55226327-55226444,55226444,55226327,55226327,55226444,38,P1_1:55226328_55226444:-:1:117,55226328-55226444,55226444,55226328,55226328,55226444,38,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026031.15_Cflar_chr1:58713337-58713520:+_60,chr1,+,58713337-58713520,58713337,58713520,58713337,58713520,60,P1_1:58713338_58713520:+:1:183,58713338-58713520,58713338,58713520,58713338,58713520,60,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026031.15_Cflar_chr1:58713337-58713520:+_60,chr1,+,58713337-58713520,58713337,58713520,58713337,58713520,60,P1_1:58713338_58713520:+:1:183,58713338-58713520,58713338,58713520,58713338,58713520,60,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025980.14_Hspd1_chr1:55088060-55088117:-_18,chr1,-,55088060-55088117,55088117,55088060,55088060,55088117,18,P1_1:55088061_55088117:-:1:57,55088061-55088117,55088117,55088061,55088061,55088117,18,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025980.14_Hspd1_chr1:55088060-55088117:-_18,chr1,-,55088060-55088117,55088117,55088060,55088060,55088117,18,P1_1:55088061_55088117:-:1:57,55088061-55088117,55088117,55088061,55088061,55088117,18,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026028.12_Trak2_chr1:58946293-58946485:-_63,chr1,-,58946293-58946485,58946485,58946293,58946293,58946485,63,P1_1:58946294_58946485:-:1:192,58946294-58946485,58946485,58946294,58946294,58946485,63,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026028.12_Trak2_chr1:58946293-58946485:-_63,chr1,-,58946293-58946485,58946485,58946293,58946293,58946485,63,P1_1:58946294_58946485:-:1:192,58946294-58946485,58946485,58946294,58946294,58946485,63,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026024.14_Als2_chr1:59217928-59220431:-_69,chr1,-,"59217928-59218081,59220374-59220431",59220431,59217928,59217928,59220431,69,P1_1:59217929_59220431:-:2:210,"59217929-59218081,59220375-59220431",59220431,59217929,59217929,59220431,69,0,1,uORF
unification+gencode:uORF,coordinate,pred_contains_paper,ENSMUSG00000026024.14_Als2_chr1:59217928-59220431:-_69,chr1,-,"59217928-59218081,59220374-59220431",59220431,59217928,59217928,59220431,69,P1_1:59215944_59220431:-:2:135,"59215944-59216021,59220375-59220431",59220431,59215944,59215944,59220431,44,0,1984,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026024.14_Als2_chr1:59217928-59220431:-_69,chr1,-,"59217928-59218081,59220374-59220431",59220431,59217928,59217928,59220431,69,P1_1:59217929_59220431:-:2:210,"59217929-59218081,59220375-59220431",59220431,59217929,59217929,59220431,69,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026035.15_Ppil3_chr1:58445154-58445205:-_16,chr1,-,58445154-58445205,58445205,58445154,58445154,58445205,16,P1_1:58445155_58445205:-:1:51,58445155-58445205,58445205,58445155,58445155,58445205,16,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026035.15_Ppil3_chr1:58445154-58445205:-_16,chr1,-,58445154-58445205,58445205,58445154,58445154,58445205,16,P1_1:58445155_58445205:-:1:51,58445155-58445205,58445205,58445155,58445155,58445205,16,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026017.13_Carf_chr1:60105312-60105420:+_35,chr1,+,60105312-60105420,60105312,60105420,60105312,60105420,35,P1_1:60105313_60105420:+:1:108,60105313-60105420,60105313,60105420,60105313,60105420,35,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026017.13_Carf_chr1:60105312-60105420:+_35,chr1,+,60105312-60105420,60105312,60105420,60105312,60105420,35,P1_1:60105313_60105420:+:1:108,60105313-60105420,60105313,60105420,60105313,60105420,35,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025962.15_Fastkd2_chr1:63730651-63731428:+_22,chr1,+,"63730651-63730691,63731399-63731428",63730651,63731428,63730651,63731428,22,P1_1:63730652_63731428:+:2:69,"63730652-63730691,63731400-63731428",63730652,63731428,63730652,63731428,22,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025962.15_Fastkd2_chr1:63730651-63731428:+_22,chr1,+,"63730651-63730691,63731399-63731428",63730651,63731428,63730651,63731428,22,P1_1:63730652_63731428:+:2:69,"63730652-63730691,63731400-63731428",63730652,63731428,63730652,63731428,22,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025959.13_Klf7_chr1:64120984-64121104:-_39,chr1,-,64120984-64121104,64121104,64120984,64120984,64121104,39,P1_1:64120985_64121104:-:1:120,64120985-64121104,64121104,64120985,64120985,64121104,39,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025959.13_Klf7_chr1:64120984-64121104:-_39,chr1,-,64120984-64121104,64121104,64120984,64120984,64121104,39,P1_1:64120985_64121104:-:1:120,64120985-64121104,64121104,64120985,64120985,64121104,39,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000027520.15_Zdbf2_chr1:63280817-63294926:+_58,chr1,+,"63280817-63280877,63290676-63290782,63294915-63294926",63280817,63294926,63280817,63294926,58,P1_1:63280818_63294926:+:3:177,"63280818-63280877,63290677-63290782,63294916-63294926",63280818,63294926,63280818,63294926,58,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000027520.15_Zdbf2_chr1:63280817-63294926:+_58,chr1,+,"63280817-63280877,63290676-63290782,63294915-63294926",63280817,63294926,63280817,63294926,58,P1_1:63280818_63294926:+:3:207,"63280818-63280877,63290647-63290782,63294916-63294926",63280818,63294926,63280818,63294926,68,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000027520.15_Zdbf2_chr1:63277930-63280788:+_24,chr1,+,"63277930-63277983,63280766-63280788",63277930,63280788,63277930,63280788,24,P1_1:63277931_63280788:+:2:75,"63277931-63277983,63280767-63280788",63277931,63280788,63277931,63280788,24,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000027520.15_Zdbf2_chr1:63277930-63280788:+_24,chr1,+,"63277930-63277983,63280766-63280788",63277930,63280788,63277930,63280788,24,P1_1:63277931_63280788:+:2:75,"63277931-63277983,63280767-63280788",63277931,63280788,63277931,63280788,24,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000027520.15_Zdbf2_chr1:63280817-63294926:+_68,chr1,+,"63280817-63280877,63290646-63290782,63294915-63294926",63280817,63294926,63280817,63294926,68,P1_1:63280818_63294926:+:3:207,"63280818-63280877,63290647-63290782,63294916-63294926",63280818,63294926,63280818,63294926,68,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000027520.15_Zdbf2_chr1:63280817-63294926:+_68,chr1,+,"63280817-63280877,63290646-63290782,63294915-63294926",63280817,63294926,63280817,63294926,68,P1_1:63280818_63294926:+:3:207,"63280818-63280877,63290647-63290782,63294916-63294926",63280818,63294926,63280818,63294926,68,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000067336.6_Bmpr2_chr1:59764381-59764462:+_26,chr1,+,59764381-59764462,59764381,59764462,59764381,59764462,26,P1_1:59764382_59764462:+:1:81,59764382-59764462,59764382,59764462,59764382,59764462,26,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000067336.6_Bmpr2_chr1:59764381-59764462:+_26,chr1,+,59764381-59764462,59764381,59764462,59764381,59764462,26,P1_1:59764382_59764462:+:1:81,59764382-59764462,59764382,59764462,59764382,59764462,26,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025967.16_Eef1b2_chr1:63176935-63177040:+_34,chr1,+,63176935-63177040,63176935,63177040,63176935,63177040,34,P1_1:63176936_63177040:+:1:105,63176936-63177040,63176936,63177040,63176936,63177040,34,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025967.16_Eef1b2_chr1:63176935-63177040:+_34,chr1,+,63176935-63177040,63176935,63177040,63176935,63177040,34,P1_1:63176936_63177040:+:1:105,63176936-63177040,63176936,63177040,63176936,63177040,34,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000045648.15_Vwc2l_chr1:70725941-70726016:+_24,chr1,+,70725941-70726016,70725941,70726016,70725941,70726016,24,P1_1:70725942_70726016:+:1:75,70725942-70726016,70725942,70726016,70725942,70726016,24,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000045648.15_Vwc2l_chr1:70725941-70726016:+_24,chr1,+,70725941-70726016,70725941,70726016,70725941,70726016,24,P1_1:70725942_70726016:+:1:75,70725942-70726016,70725942,70726016,70725942,70726016,24,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000039372.5_March4_chr1:72536139-72536403:-_87,chr1,-,72536139-72536403,72536403,72536139,72536139,72536403,87,P1_1:72536140_72536403:-:1:264,72536140-72536403,72536403,72536140,72536140,72536403,87,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000039372.5_March4_chr1:72536139-72536403:-_87,chr1,-,72536139-72536403,72536403,72536139,72536139,72536403,87,P1_1:72536140_72536403:-:1:264,72536140-72536403,72536403,72536140,72536140,72536403,87,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000033276.18_Stk36_chr1:74602037-74602097:+_19,chr1,+,74602037-74602097,74602037,74602097,74602037,74602097,19,P1_1:74602038_74602097:+:1:60,74602038-74602097,74602038,74602097,74602038,74602097,19,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000033276.18_Stk36_chr1:74602037-74602097:+_19,chr1,+,74602037-74602097,74602037,74602097,74602037,74602097,19,P1_1:74602038_74602097:+:1:60,74602038-74602097,74602038,74602097,74602038,74602097,19,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000033021.16_Gmppa_chr1:75436241-75436301:+_19,chr1,+,75436241-75436301,75436241,75436301,75436241,75436301,19,P1_1:75436242_75436301:+:1:60,75436242-75436301,75436242,75436301,75436242,75436301,19,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000033021.16_Gmppa_chr1:75436241-75436301:+_19,chr1,+,75436241-75436301,75436241,75436301,75436241,75436301,19,P1_1:75436242_75436301:+:1:60,75436242-75436301,75436242,75436301,75436242,75436301,19,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026135.17_Zfp142_chr1:74587675-74587735:-_19,chr1,-,74587675-74587735,74587735,74587675,74587675,74587735,19,P1_1:74587676_74587735:-:1:60,74587676-74587735,74587735,74587676,74587676,74587735,19,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026135.17_Zfp142_chr1:74587675-74587735:-_19,chr1,-,74587675-74587735,74587735,74587675,74587675,74587735,19,P1_1:74587676_74587735:-:1:60,74587676-74587735,74587735,74587676,74587676,74587735,19,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026172.12_Bcs1l_chr1:74588332-74589514:+_29,chr1,+,"74588332-74588393,74589485-74589514",74588332,74589514,74588332,74589514,29,P1_1:74588333_74589514:+:2:90,"74588333-74588393,74589486-74589514",74588333,74589514,74588333,74589514,29,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000026172.12_Bcs1l_chr1:74588332-74589514:+_29,chr1,+,"74588332-74588393,74589485-74589514",74588332,74589514,74588332,74589514,29,P1_1:74588333_74589514:+:2:90,"74588333-74588393,74589486-74589514",74588333,74589514,74588333,74589514,29,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000026203.16_Dnajb2_chr1:75236476-75236933:+_64,chr1,+,"75236476-75236589,75236851-75236933",75236476,75236933,75236476,75236933,64,P1_1:75236477_75236933:+:2:195,"75236477-75236589,75236852-75236933",75236477,75236933,75236477,75236933,64,1,0,uORF
